desc,jaccard,rbo,kendall_tau
HawkesRanker L=129 p=0.5 beta=6.219020784524344e-08,0.37770605629988285,0.3994094009801299,0.40209333903641137
HawkesRanker L=13 p=0.01 beta=4.100044681257204e-06,0.34054384169256696,0.3725388112847009,0.3680523887278388
HawkesRanker L=13 p=0.1 beta=2.050022340628602e-06,0.36401759650111815,0.38605245573122354,0.38508065726833707
HawkesRanker L=13 p=0.5 beta=6.171182163104926e-07,0.393808165806833,0.40933296083115905,0.4210770223612484
HawkesRanker L=130 p=0.01 beta=4.1000446812572044e-07,0.3962799214475468,0.41106329410860193,0.4103249054595199
HawkesRanker L=130 p=0.1 beta=2.0500223406286022e-07,0.4002650268162058,0.4128284752212439,0.41185691761083515
HawkesRanker L=130 p=0.5 beta=6.171182163104926e-08,0.37928560221597074,0.40109972338155797,0.4029732731459008
HawkesRanker L=131 p=0.01 beta=4.068746630255241e-07,0.39614338476792404,0.4108318331407333,0.40976285035807863
HawkesRanker L=131 p=0.1 beta=2.0343733151276204e-07,0.399923325866359,0.41265204776217995,0.41144408145804895
HawkesRanker L=131 p=0.5 beta=6.124073902317865e-08,0.37930303797058207,0.40085703096286124,0.40250000870254515
HawkesRanker L=132 p=0.01 beta=4.0379227921472465e-07,0.3959924999515098,0.4110355192894416,0.40976613376548604
HawkesRanker L=132 p=0.1 beta=2.0189613960736233e-07,0.4002355497261405,0.41274389727627925,0.4103008889220525
HawkesRanker L=132 p=0.5 beta=6.077679403057881e-08,0.37930303797058207,0.401029049918192,0.4027137083565017
HawkesRanker L=133 p=0.01 beta=4.007562470401779e-07,0.3958772748785339,0.4109982313280388,0.4114683205922456
HawkesRanker L=133 p=0.1 beta=2.0037812352008894e-07,0.40052172997698504,0.4128242718447449,0.41058881752938503
HawkesRanker L=133 p=0.5 beta=6.031982565440905e-08,0.3788910902794824,0.4009810766026851,0.4021320711930048
HawkesRanker L=134 p=0.01 beta=3.97765528778684e-07,0.39597512755589187,0.4108088743690166,0.4111147946023528
HawkesRanker L=134 p=0.1 beta=1.98882764389342e-07,0.40035346479105205,0.4126450079119534,0.41136171172605857
HawkesRanker L=134 p=0.5 beta=5.98696777017642e-08,0.3790689409278355,0.40096630857542986,0.4004940794701021
HawkesRanker L=135 p=0.01 beta=3.9481911745439745e-07,0.3959399194468341,0.4108647175955489,0.41153911923693676
HawkesRanker L=135 p=0.1 beta=1.9740955872719873e-07,0.40009481212207865,0.4125391177206257,0.4122385039476387
HawkesRanker L=135 p=0.5 beta=5.942619860767706e-08,0.3789387568102978,0.40101522585214633,0.4007526687202162
HawkesRanker L=136 p=0.01 beta=3.919160357084092e-07,0.39622249024714956,0.41051069928488365,0.4106293495994985
HawkesRanker L=136 p=0.1 beta=1.959580178542046e-07,0.3991325785242636,0.41230103554365805,0.41404463092516225
HawkesRanker L=136 p=0.5 beta=5.898924126497356e-08,0.3790541853653767,0.4008970649097645,0.4002339211837064
HawkesRanker L=137 p=0.01 beta=3.890553347178369e-07,0.3963653919307912,0.41050894611542893,0.41054404475006384
HawkesRanker L=137 p=0.1 beta=1.9452766735891845e-07,0.3991325785242636,0.41214889898098617,0.4138748968280703
HawkesRanker L=137 p=0.5 beta=5.8558662861579587e-08,0.37894228901673127,0.401331360490976,0.4003572321749076
HawkesRanker L=138 p=0.01 beta=3.862360931619105e-07,0.3964590268512044,0.4107352804887173,0.4115581524313998
HawkesRanker L=138 p=0.1 beta=1.9311804658095526e-07,0.39888719179477794,0.41200072511431046,0.4142975548756772
