,L,mu,theta,forget_func,jaccard_sim,rbo
126,14.0,0.6,0.166667,exp,0.2838677424716758,0.31172414646902913
127,14.0,0.6,0.166667,pow,0.29196117914626396,0.3103541201782799
128,14.0,0.6,0.2,exp,0.28581289589668735,0.3130643305796959
129,14.0,0.6,0.2,pow,0.29293000251669843,0.3108524077450389
130,14.0,0.6,0.3,exp,0.2933851077281091,0.3184184753670857
131,14.0,0.6,0.3,pow,0.2943953882491171,0.3127780498102363
132,14.0,0.6,0.4,exp,0.2989465680617332,0.321246557319811
133,14.0,0.6,0.4,pow,0.2948075852747845,0.3144698812643932
134,14.0,0.6,0.5,exp,0.30761110423108134,0.325318063309814
135,14.0,0.6,0.5,pow,0.2987167531754702,0.316105586807368
136,14.0,0.7,0.1,exp,0.274989512670638,0.30488063202061966
137,14.0,0.7,0.1,pow,0.27639534747731126,0.299272601055751
138,14.0,0.7,0.166667,exp,0.27846689056363017,0.3062575659992958
139,14.0,0.7,0.166667,pow,0.2819531568865551,0.3027289088474276
140,14.0,0.7,0.2,exp,0.2802838454974354,0.3072212210195955
141,14.0,0.7,0.2,pow,0.2851936915087062,0.3053837660314467
142,14.0,0.7,0.3,exp,0.2840921542039438,0.31091653988803764
143,14.0,0.7,0.3,pow,0.2938734016057535,0.3109797878595154
144,14.0,0.7,0.4,exp,0.2889691800860141,0.31401162139502503
145,14.0,0.7,0.4,pow,0.29526529641032107,0.3130368307040864
146,14.0,0.7,0.5,exp,0.2940258199706375,0.3166861897976541
147,14.0,0.7,0.5,pow,0.2973957359243101,0.3142843010677198
148,14.0,0.7,0.6,exp,0.30139944192742096,0.32249776214718046
149,14.0,0.7,0.6,pow,0.300394601484289,0.3167277953445447
150,14.0,0.8,0.1,exp,0.2723027542390078,0.3018504245222605
151,14.0,0.8,0.1,pow,0.2704715799646288,0.2983403848353983
152,14.0,0.8,0.166667,exp,0.27358234812216553,0.30380055487158114
153,14.0,0.8,0.166667,pow,0.27240833433679196,0.2989362088158167
154,14.0,0.8,0.2,exp,0.2747839205336524,0.30453439851479475
155,14.0,0.8,0.2,pow,0.27519524339787504,0.30005623818008714
156,14.0,0.8,0.3,exp,0.27712102888338713,0.3063158080313456
157,14.0,0.8,0.3,pow,0.2790290290750813,0.3025642890300177
158,14.0,0.8,0.4,exp,0.28109740803535915,0.3085758899479222
159,14.0,0.8,0.4,pow,0.2878022729670656,0.3065304698656919
160,14.0,0.8,0.5,exp,0.2850936484597809,0.31053647800963013
161,14.0,0.8,0.5,pow,0.2935838653726185,0.31137753701792314
162,14.0,0.8,0.6,exp,0.29141719638288816,0.31483467346696387
163,14.0,0.8,0.6,pow,0.29500198523756954,0.3138787960423207
164,14.0,0.9,0.1,exp,0.2670132207265324,0.2966319182518008
165,14.0,0.9,0.1,pow,0.26740942400515544,0.2961939573665536
166,14.0,0.9,0.166667,exp,0.26860951133955,0.29851679888088406
