,L,mu_t,mu_c,theta,forget_func,jaccard_sim,rbo
8606,90.0,0.19442857142857142,0.5151428571428571,0.16733333333333333,exp,0.3362648725796473,0.33925506985943865
8607,90.0,0.19442857142857142,0.5792857142857143,0.001,exp,0.31654273811638073,0.3234023938813334
8608,90.0,0.19442857142857142,0.5792857142857143,0.05644444444444444,exp,0.3258118824768909,0.3314948060474695
8609,90.0,0.19442857142857142,0.5792857142857143,0.11188888888888888,exp,0.32683766441322093,0.3330473007882821
8610,90.0,0.19442857142857142,0.5792857142857143,0.16733333333333333,exp,0.32882793082518647,0.3340360206977625
8611,90.0,0.19442857142857142,0.6434285714285715,0.001,exp,0.311856021726593,0.32017513154265625
8612,90.0,0.19442857142857142,0.6434285714285715,0.05644444444444444,exp,0.32196920364721787,0.3291012556687009
8613,90.0,0.19442857142857142,0.6434285714285715,0.11188888888888888,exp,0.32317328053763145,0.3302063902615407
8614,90.0,0.19442857142857142,0.6434285714285715,0.16733333333333333,exp,0.32363287630679854,0.3309226637825107
8615,90.0,0.19442857142857142,0.7075714285714285,0.001,exp,0.31012896805601853,0.31630730162162407
8616,90.0,0.19442857142857142,0.7075714285714285,0.05644444444444444,exp,0.31771059356592163,0.32498433370033825
8617,90.0,0.19442857142857142,0.7075714285714285,0.11188888888888888,exp,0.3191860498639302,0.32630892109726184
8618,90.0,0.19442857142857142,0.7075714285714285,0.16733333333333333,exp,0.3209024457280995,0.3268153689657313
8619,90.0,0.19442857142857142,0.7717142857142857,0.001,exp,0.30934301596716457,0.31352105242352224
8620,90.0,0.19442857142857142,0.7717142857142857,0.05644444444444444,exp,0.31505122310587813,0.32039004350811207
8621,90.0,0.19442857142857142,0.7717142857142857,0.11188888888888888,exp,0.31795989591971147,0.3226532729557797
8622,90.0,0.19442857142857142,0.7717142857142857,0.16733333333333333,exp,0.319149537750838,0.3232043270650071
8623,90.0,0.19442857142857142,0.8358571428571429,0.001,exp,0.3065484955950619,0.31055979050842375
8624,90.0,0.19442857142857142,0.8358571428571429,0.05644444444444444,exp,0.3101638861175402,0.31475022746205716
8625,90.0,0.19442857142857142,0.8358571428571429,0.11188888888888888,exp,0.31395847921005726,0.3187371828331481
8626,90.0,0.19442857142857142,0.8358571428571429,0.16733333333333333,exp,0.3146128098632546,0.3191182503668287
8627,90.0,0.19442857142857142,0.9,0.001,exp,0.3039351756705348,0.3077086704821276
8628,90.0,0.19442857142857142,0.9,0.05644444444444444,exp,0.30707996031486373,0.311218224397496
8629,90.0,0.19442857142857142,0.9,0.11188888888888888,exp,0.3085114673614802,0.3127147117121742
8630,90.0,0.19442857142857142,0.9,0.16733333333333333,exp,0.3099182519901802,0.3137608289561377
8631,90.0,0.25857142857142856,0.002,0.001,exp,0.22582716435714473,0.279520580251829
8632,90.0,0.25857142857142856,0.06614285714285714,0.001,exp,0.3553140913880665,0.36927784082599424
8633,90.0,0.25857142857142856,0.06614285714285714,0.05644444444444444,exp,0.3809759576448567,0.38562632052501844
8634,90.0,0.25857142857142856,0.13028571428571428,0.001,exp,0.35211547975065915,0.36198804368639426
8635,90.0,0.25857142857142856,0.13028571428571428,0.05644444444444444,exp,0.37728510785365804,0.37898403442201883
8636,90.0,0.25857142857142856,0.13028571428571428,0.11188888888888888,exp,0.383651267332669,0.38447605695117604
8637,90.0,0.25857142857142856,0.19442857142857142,0.001,exp,0.3451206792712032,0.35578913553501756
8638,90.0,0.25857142857142856,0.19442857142857142,0.05644444444444444,exp,0.36283323791507416,0.36724955224366485
8639,90.0,0.25857142857142856,0.19442857142857142,0.11188888888888888,exp,0.36831584210612534,0.37123274048087274
8640,90.0,0.25857142857142856,0.19442857142857142,0.16733333333333333,exp,0.37376150061133595,0.37496852090290783
8641,90.0,0.25857142857142856,0.25857142857142856,0.001,exp,0.33938677554811525,0.35031234833394614
8642,90.0,0.25857142857142856,0.25857142857142856,0.05644444444444444,exp,0.3555337668576325,0.3604589276910911
8643,90.0,0.25857142857142856,0.25857142857142856,0.11188888888888888,exp,0.36109477322005024,0.36385064852347493
8644,90.0,0.25857142857142856,0.25857142857142856,0.16733333333333333,exp,0.36472759252961673,0.36687700953508384
8645,90.0,0.25857142857142856,0.25857142857142856,0.22277777777777777,exp,0.3715721312855941,0.37088692539708307
8646,90.0,0.25857142857142856,0.32271428571428573,0.001,exp,0.3328317725564696,0.34392212695987867
8647,90.0,0.25857142857142856,0.32271428571428573,0.05644444444444444,exp,0.3478011388111436,0.3538602888948783
8648,90.0,0.25857142857142856,0.32271428571428573,0.11188888888888888,exp,0.35206852893874746,0.35529884716835314
8649,90.0,0.25857142857142856,0.32271428571428573,0.16733333333333333,exp,0.3544129527853425,0.3578181791394293
8650,90.0,0.25857142857142856,0.32271428571428573,0.22277777777777777,exp,0.3579159610333303,0.3600601600339067
8651,90.0,0.25857142857142856,0.38685714285714284,0.001,exp,0.3311103476375425,0.33946624464915914
