,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
88,1.0,0.04138517,0.02069759,exp,0.2413793103448276,0.3140551809301809,0.4838709677419355
89,1.0,0.04138517,0.02414552,exp,0.25,0.3248848126080269,0.49019607843137253
90,1.0,0.04138517,0.02759345,exp,0.2727272727272727,0.3401462542087542,0.5
91,1.0,0.04138517,0.03104138,exp,0.30434782608695654,0.3529496834184334,0.52
92,1.0,0.04138517,0.0333333333,exp,0.3333333333333333,0.3656879942433576,0.53125
93,1.0,0.04138517,0.03448931,exp,0.3333333333333333,0.3697088625660054,0.5384615384615384
94,1.0,0.04138517,0.03486441,exp,0.3333333333333333,0.3722449657540602,0.5416666666666666
95,1.0,0.04138517,0.03793724,exp,0.3618181818181818,0.38952180298334144,0.5555555555555556
96,1.0,0.0448331,0.0001,exp,0.16666666666666666,0.2597143868191947,0.3684210526315789
97,1.0,0.0448331,0.001,exp,0.16666666666666666,0.2650297619047619,0.38461538461538464
98,1.0,0.0448331,0.01035379,exp,0.2,0.2869315675673807,0.4444444444444444
99,1.0,0.0448331,0.01380172,exp,0.2,0.2936615773487849,0.45454545454545453
100,1.0,0.0448331,0.01724966,exp,0.21739130434782608,0.3061844059435003,0.45454545454545453
101,1.0,0.0448331,0.0179322,exp,0.21739130434782608,0.30970902939652933,0.4666666666666667
102,1.0,0.0448331,0.02069759,exp,0.23076923076923078,0.31461640211640207,0.47619047619047616
103,1.0,0.0448331,0.02414552,exp,0.25,0.32142287846833295,0.48717948717948717
104,1.0,0.0448331,0.02759345,exp,0.25,0.3322958068459798,0.5
105,1.0,0.0448331,0.03104138,exp,0.2857142857142857,0.3442142810892811,0.5
106,1.0,0.0448331,0.0333333333,exp,0.3,0.34551587301587305,0.5172413793103449
107,1.0,0.0448331,0.03448931,exp,0.3333333333333333,0.354728835978836,0.52
108,1.0,0.0448331,0.03486441,exp,0.3333333333333333,0.35379537996725496,0.5121951219512195
109,1.0,0.0448331,0.03793724,exp,0.3333333333333333,0.3722449657540602,0.5384615384615384
110,1.0,0.0448331,0.04138517,exp,0.3684210526315789,0.3897930251484173,0.5555555555555556
111,1.0,0.05,0.0001,exp,0.16666666666666666,0.2588930014622056,0.3684210526315789
112,1.0,0.05,0.001,exp,0.16666666666666666,0.26485474782785157,0.38461538461538464
113,1.0,0.05,0.01035379,exp,0.2,0.2852331349206349,0.44
114,1.0,0.05,0.01380172,exp,0.2,0.28894682273971495,0.45
115,1.0,0.05,0.01724966,exp,0.2,0.2988329934408366,0.45454545454545453
116,1.0,0.05,0.0179322,exp,0.21212121212121213,0.3026140873015873,0.45454545454545453
117,1.0,0.05,0.02069759,exp,0.21739130434782608,0.3096230621230621,0.47368421052631576
118,1.0,0.05,0.02414552,exp,0.23809523809523808,0.31499855275896943,0.47619047619047616
119,1.0,0.05,0.02759345,exp,0.25,0.3220090515545061,0.48717948717948717
120,1.0,0.05,0.03104138,exp,0.25,0.33072360179503035,0.5
121,1.0,0.05,0.0333333333,exp,0.2727272727272727,0.33887035774055,0.5
122,1.0,0.05,0.03448931,exp,0.28285714285714286,0.34261044511044514,0.5
123,1.0,0.05,0.03486441,exp,0.2857142857142857,0.3442142810892811,0.5
124,1.0,0.05,0.03793724,exp,0.3076923076923077,0.3536631192881193,0.52
125,1.0,0.05,0.04138517,exp,0.3333333333333333,0.3651797805369234,0.5384615384615384
126,1.0,0.05274576,0.0001,exp,0.16666666666666666,0.25856090338233195,0.3684210526315789
127,1.0,0.05274576,0.001,exp,0.16666666666666666,0.26449035827099554,0.38461538461538464
128,1.0,0.05274576,0.01035379,exp,0.2,0.2845982142857143,0.4444444444444444
129,1.0,0.05274576,0.01380172,exp,0.2,0.2873238604596736,0.45
130,1.0,0.05274576,0.01724966,exp,0.2,0.29638204677267177,0.45454545454545453
131,1.0,0.05274576,0.0179322,exp,0.2,0.29766851169677,0.45454545454545453
132,1.0,0.05274576,0.02069759,exp,0.21739130434782608,0.3050269522860467,0.45454545454545453
133,1.0,0.05274576,0.02414552,exp,0.23076923076923078,0.31287477954144627,0.4857142857142857
134,1.0,0.05274576,0.02759345,exp,0.2413793103448276,0.31615897743129884,0.4838709677419355
135,1.0,0.05274576,0.03104138,exp,0.25,0.32372951002925054,0.49019607843137253
136,1.0,0.05274576,0.0333333333,exp,0.25925925925925924,0.3337466365978363,0.5
137,1.0,0.05274576,0.03448931,exp,0.2727272727272727,0.337082866671967,0.5
138,1.0,0.05274576,0.03486441,exp,0.2727272727272727,0.3375752482220409,0.5
139,1.0,0.05274576,0.03793724,exp,0.28801843317972353,0.34550001280770515,0.5135135135135135
140,1.0,0.05274576,0.04138517,exp,0.3333333333333333,0.3536631192881193,0.52
141,1.0,0.05274576,0.05179661,exp,0.4074074074074074,0.4124641953488107,0.5714285714285714
142,1.0,0.06966102,0.0001,exp,0.1639784946236559,0.25802118406285074,0.3684210526315789
143,1.0,0.06966102,0.001,exp,0.16666666666666666,0.2650297619047619,0.391304347826087
144,1.0,0.06966102,0.01035379,exp,0.1875,0.27777777777777773,0.4090909090909091
145,1.0,0.06966102,0.01380172,exp,0.2,0.283357266532007,0.44
146,1.0,0.06966102,0.01724966,exp,0.2,0.2860706831295067,0.4444444444444444
147,1.0,0.06966102,0.0179322,exp,0.2,0.2863705067626636,0.4444444444444444
148,1.0,0.06966102,0.02069759,exp,0.2,0.29198644394105605,0.4482758620689655
149,1.0,0.06966102,0.02414552,exp,0.2,0.29692835134876655,0.45454545454545453
150,1.0,0.06966102,0.02759345,exp,0.21739130434782608,0.30119588353646676,0.45454545454545453
151,1.0,0.06966102,0.03104138,exp,0.22401433691756273,0.30618390868390866,0.4782608695652174
152,1.0,0.06966102,0.0333333333,exp,0.23076923076923078,0.31187414437414435,0.4827586206896552
153,1.0,0.06966102,0.03448931,exp,0.23809523809523808,0.31287477954144627,0.48148148148148145
154,1.0,0.06966102,0.03486441,exp,0.2413793103448276,0.31287477954144627,0.4857142857142857
155,1.0,0.06966102,0.03793724,exp,0.25,0.3202532338864518,0.48717948717948717
156,1.0,0.06966102,0.04138517,exp,0.25,0.32372951002925054,0.49019607843137253
157,1.0,0.06966102,0.05179661,exp,0.29411764705882354,0.3466666666666667,0.5111111111111111
158,1.0,0.06966102,0.0666666667,exp,0.38461538461538464,0.39642857142857135,0.5652173913043478
159,1.0,0.06966102,0.06872881,exp,0.4095860566448801,0.40340126019813516,0.5555555555555556
160,1.0,0.08620828,0.0001,exp,0.16129032258064516,0.25720989658489657,0.3684210526315789
161,1.0,0.08620828,0.001,exp,0.16666666666666666,0.2650297619047619,0.38461538461538464
162,1.0,0.08620828,0.01035379,exp,0.17647058823529413,0.27397691594120166,0.4074074074074074
163,1.0,0.08620828,0.01380172,exp,0.1875,0.2765738414635473,0.4090909090909091
164,1.0,0.08620828,0.01724966,exp,0.2,0.283357266532007,0.42857142857142855
165,1.0,0.08620828,0.0179322,exp,0.2,0.2845982142857143,0.4358974358974359
166,1.0,0.08620828,0.02069759,exp,0.2,0.2815015962507311,0.44
167,1.0,0.08620828,0.02414552,exp,0.2,0.2863668430335097,0.4482758620689655
168,1.0,0.08620828,0.02759345,exp,0.2,0.29198644394105605,0.45
169,1.0,0.08620828,0.03104138,exp,0.2,0.2960632316401547,0.4482758620689655
170,1.0,0.08620828,0.0333333333,exp,0.21583850931677018,0.29692835134876655,0.45
171,1.0,0.08620828,0.03448931,exp,0.21739130434782608,0.2995067469908877,0.45454545454545453
172,1.0,0.08620828,0.03486441,exp,0.21739130434782608,0.30119588353646676,0.45454545454545453
173,1.0,0.08620828,0.03793724,exp,0.21739130434782608,0.3021118365761223,0.45454545454545453
174,1.0,0.08620828,0.04138517,exp,0.23076923076923078,0.30816284699097196,0.48148148148148145
175,1.0,0.08620828,0.05179661,exp,0.25,0.32291881017842555,0.4883720930232558
