,L,mu,jaccard_sim,rbo,kendall_tau
11499,245.0,0.05,0.4047943835042392,0.40984017039415027,0.4058130646272506
11500,246.0,0.0001,0.40749311940225225,0.41410789640125706,0.40834712911790466
11501,246.0,0.00030040160642570284,0.40801085843589235,0.41429186425113795,0.408869345093601
11502,246.0,0.0005008032128514056,0.40825624516537806,0.4142349926099857,0.4088140735783917
11503,246.0,0.0007012048192771085,0.4084506147329232,0.41402001099005875,0.408061209408493
11504,246.0,0.0009016064257028113,0.40826552302839686,0.4140209522295346,0.4083401313485143
11505,246.0,0.001102008032128514,0.40826552302839686,0.41383390527713676,0.4076224952252321
11506,246.0,0.001302409638554217,0.4084790903797734,0.4139370797257979,0.40876930230962033
11507,246.0,0.0015028112449799198,0.40869265773114993,0.4140733919048011,0.40950556703978225
11508,246.0,0.0017032128514056226,0.40888800300986394,0.4143266591879419,0.40991271774545224
11509,246.0,0.0019036144578313255,0.40888800300986394,0.4143009358714954,0.4099024760497378
11510,246.0,0.002104016064257028,0.4087809251642702,0.41432627211999096,0.410460243255903
11511,246.0,0.0023044176706827307,0.4088241088926003,0.41449457342355506,0.41128153051083466
11512,246.0,0.0025048192771084336,0.4088502301480315,0.41453489926900666,0.4119830703817263
11513,246.0,0.0027052208835341364,0.4091643251617732,0.41458530872605615,0.41091987186704126
11514,246.0,0.0029056224899598393,0.40926761409898443,0.4144239347186159,0.41032739071156565
11515,246.0,0.003106024096385542,0.4094011044798246,0.41448132552914707,0.41100051860915776
11516,246.0,0.003306425702811245,0.4094679677510769,0.4146870862756649,0.41065308952546786
11517,246.0,0.003506827309236948,0.40876656079525303,0.41467287387300933,0.4113362556860892
11518,246.0,0.0037072289156626506,0.4084720967198702,0.4143885699057733,0.4123418703499313
11519,246.0,0.003907630522088354,0.40841611011838014,0.4143663027860159,0.4133079408170782
11520,246.0,0.004108032128514056,0.40765277570277236,0.4144080732848589,0.4136204522240594
11521,246.0,0.00430843373493976,0.4070344011444685,0.41421052516237317,0.4141188396439799
11522,246.0,0.004508835341365462,0.40734116161165457,0.4141824393718957,0.4127863154016751
11523,246.0,0.004709236947791165,0.40722244486980064,0.4141719737789659,0.41304670920478365
11524,246.0,0.004909638554216868,0.4073433301217999,0.4141877534172652,0.41269424544421157
11525,246.0,0.005110040160642571,0.4074392680573869,0.4139450384058265,0.41124274559608637
11526,246.0,0.005310441767068273,0.40753490596221204,0.4140478745182316,0.41121787034300117
11527,246.0,0.005510843373493977,0.40766551679161667,0.4140901597935309,0.4110860894400741
11528,246.0,0.005711244979919679,0.4079599808669994,0.4140410529511671,0.41072465734524605
11529,246.0,0.005911646586345382,0.4079599808669994,0.4140093895263681,0.4102012231537172
11530,246.0,0.006112048192771085,0.4077496493845831,0.4140115019237189,0.41173758230481194
11531,246.0,0.006312449799196788,0.4074341521609587,0.4138403172224003,0.4113601449080936
11532,246.0,0.0065128514056224905,0.40728692012326734,0.413890411770625,0.4118934012059773
11533,246.0,0.006713253012048193,0.40691682169663174,0.41388932969794223,0.4122833741707392
11534,246.0,0.006913654618473896,0.40669031086941426,0.413963311277287,0.41113463330128835
11535,246.0,0.007114056224899599,0.40669031086941426,0.41410162604896206,0.41150374840100357
11536,246.0,0.007314457831325302,0.40687311320877967,0.41397936946006847,0.41076347264752755
11537,246.0,0.007514859437751004,0.40687311320877967,0.4140029820863642,0.4107529201306913
11538,246.0,0.007715261044176708,0.40684301962744934,0.4139370915174529,0.41029793899725875
11539,246.0,0.00791566265060241,0.40684301962744934,0.41397259180655244,0.4110476321775169
11540,246.0,0.008116064257028112,0.40652752240382484,0.4139105410790585,0.4111647314988269
11541,246.0,0.008316465863453816,0.40639733828628716,0.41406735049139415,0.41133991455729957
11542,246.0,0.008516867469879518,0.40672998561540097,0.4138681158569334,0.41061998339483496
11543,246.0,0.00871726907630522,0.4068523602960796,0.4137427318186593,0.40974881113507783
11544,246.0,0.008917670682730923,0.40669646755028865,0.41373711398364643,0.41050960067683
11545,246.0,0.009118072289156627,0.40669646755028865,0.4145597623138911,0.41434129454073465
11546,246.0,0.00931847389558233,0.40669646755028865,0.4144723746504716,0.41424982141704875
11547,246.0,0.009518875502008032,0.40669646755028865,0.4144765603998246,0.4141763338487266
11548,246.0,0.009719277108433734,0.40662742080157815,0.41424722611606746,0.41403413825145574
