,L,mu,theta,forget_func,jaccard_sim,rbo,kendall_tau
157,1.0,0.06966102,0.05179661,exp,0.2966943881708802,0.34406392823570714,0.3049351251625147
158,1.0,0.06966102,0.0666666667,exp,0.379709502653226,0.3902360329975134,0.3652110898796084
159,1.0,0.06966102,0.06872881,exp,0.4066874668594937,0.40893949293485277,0.40029055423636767
160,1.0,0.08620828,0.0001,exp,0.18293947733825353,0.25865107907192453,0.1722265362718299
161,1.0,0.08620828,0.001,exp,0.18709360176588946,0.26203151989898565,0.1762153717135447
162,1.0,0.08620828,0.01035379,exp,0.20171458722413863,0.27679284488626243,0.19834075200617454
163,1.0,0.08620828,0.01380172,exp,0.20647746590089414,0.2795405980821457,0.20269610842728666
164,1.0,0.08620828,0.01724966,exp,0.21238331781858713,0.2831655227056204,0.2102600705464764
165,1.0,0.08620828,0.0179322,exp,0.21291766063158488,0.2843389252028383,0.21193585470785262
166,1.0,0.08620828,0.02069759,exp,0.21633693745647523,0.28565801819048053,0.2174415148013516
167,1.0,0.08620828,0.02414552,exp,0.2188680876639562,0.28926270907425783,0.22557299747207812
168,1.0,0.08620828,0.02759345,exp,0.22453752723122616,0.2927288233969192,0.23236905787857995
169,1.0,0.08620828,0.03104138,exp,0.2289590232612272,0.29422510305641386,0.23074480765019215
170,1.0,0.08620828,0.0333333333,exp,0.2324826247560777,0.29577354312673465,0.23158246301239116
171,1.0,0.08620828,0.03448931,exp,0.2338239363551943,0.29746762763293444,0.23408540053307533
172,1.0,0.08620828,0.03486441,exp,0.23398789427440608,0.29775235539050043,0.23555598907223824
173,1.0,0.08620828,0.03793724,exp,0.2367762167351428,0.3000297697179783,0.23811367698088245
174,1.0,0.08620828,0.04138517,exp,0.24285323997886715,0.3050898809700829,0.24749646603865696
175,1.0,0.08620828,0.05179661,exp,0.2615478789589258,0.3192404192904583,0.26617314228814226
176,1.0,0.08620828,0.0666666667,exp,0.30143635234693467,0.3472992191944705,0.30810031779576885
177,1.0,0.08620828,0.06872881,exp,0.30902260024126676,0.35114713081805843,0.31066535155629144
178,1.0,0.08620828,0.07586448,exp,0.3319815772816658,0.3614093186309022,0.32675329521464863
179,1.0,0.08620828,0.07931241,exp,0.3492185263281134,0.3692384770396346,0.3315407756766521
180,1.0,0.08620828,0.08276034,exp,0.3771229416137523,0.38612077866308553,0.3555583726287482
181,1.0,0.08620828,0.08566102,exp,0.4092272519237744,0.4120105281244835,0.4126665805683127
