,L,mu,theta,forget_func,jaccard_sim
145,13.0,0.4,0.05,pow,0.2876356863401824
146,13.0,0.4,0.1,exp,0.29309448406651245
147,13.0,0.4,0.1,pow,0.28980426944575255
148,13.0,0.4,0.3,exp,0.3153144752027874
149,13.0,0.4,0.3,pow,0.28924512111479583
150,13.0,0.4,0.5,exp,0.003150421793311037
151,13.0,0.4,0.5,pow,0.05279088498112277
152,13.0,0.6,0.05,exp,0.27422217367735313
153,13.0,0.6,0.05,pow,0.27479098551207887
154,13.0,0.6,0.1,exp,0.2786428553947853
155,13.0,0.6,0.1,pow,0.2835549558045167
156,13.0,0.6,0.3,exp,0.2922195737764035
157,13.0,0.6,0.3,pow,0.2938390767270006
158,13.0,0.6,0.5,exp,0.3063139943836338
159,13.0,0.6,0.5,pow,0.2987167531754702
160,13.0,0.8,0.05,exp,0.26955182992525506
161,13.0,0.8,0.05,pow,0.2680215443341959
162,13.0,0.8,0.1,exp,0.27182279327500375
163,13.0,0.8,0.1,pow,0.2698806977231803
164,13.0,0.8,0.3,exp,0.27564971982076125
165,13.0,0.8,0.3,pow,0.27864654911083514
166,13.0,0.8,0.5,exp,0.2835484158878866
167,13.0,0.8,0.5,pow,0.2936276552195864
168,15.0,0.4,0.05,exp,0.2889928408287767
169,15.0,0.4,0.05,pow,0.2880581796781783
170,15.0,0.4,0.1,exp,0.2976822204961392
171,15.0,0.4,0.1,pow,0.28991524933677487
172,15.0,0.4,0.3,exp,0.3171716390832035
173,15.0,0.4,0.3,pow,0.28914524480318315
174,15.0,0.4,0.5,exp,0.00368220593336593
175,15.0,0.4,0.5,pow,0.05295722429413289
176,15.0,0.6,0.05,exp,0.27638818499528334
177,15.0,0.6,0.05,pow,0.2767169213023379
178,15.0,0.6,0.1,exp,0.282155727990269
179,15.0,0.6,0.1,pow,0.28425526799979683
180,15.0,0.6,0.3,exp,0.29418191996637094
181,15.0,0.6,0.3,pow,0.2943953882491171
182,15.0,0.6,0.5,exp,0.3084145181732629
183,15.0,0.6,0.5,pow,0.29872251442690617
184,15.0,0.8,0.05,exp,0.271687299783711
185,15.0,0.8,0.05,pow,0.2691124329511524
186,15.0,0.8,0.1,exp,0.2725994870033723
187,15.0,0.8,0.1,pow,0.26932520856589376
188,15.0,0.8,0.3,exp,0.2792942326141578
189,15.0,0.8,0.3,pow,0.27891153256277657
190,15.0,0.8,0.5,exp,0.28563100867466257
191,15.0,0.8,0.5,pow,0.29334044932082637
192,17.0,0.4,0.05,exp,0.2926128253098907
193,17.0,0.4,0.05,pow,0.28849583191584377
194,17.0,0.4,0.1,exp,0.2991372687714478
195,17.0,0.4,0.1,pow,0.28944166780367303
196,17.0,0.4,0.3,exp,0.3189750164384952
197,17.0,0.4,0.3,pow,0.2893983679676534
198,17.0,0.4,0.5,exp,0.003783852432842845
199,17.0,0.4,0.5,pow,0.05349470708358958
200,17.0,0.6,0.05,exp,0.2800528688639741
201,17.0,0.6,0.05,pow,0.27728884279553945
202,17.0,0.6,0.1,exp,0.2839282579965152
203,17.0,0.6,0.1,pow,0.2852391075196065
204,17.0,0.6,0.3,exp,0.29460034220849485
205,17.0,0.6,0.3,pow,0.2940554168018792
206,17.0,0.6,0.5,exp,0.3102172293742353
207,17.0,0.6,0.5,pow,0.2988499957599967
208,17.0,0.8,0.05,exp,0.2740016499828909
209,17.0,0.8,0.05,pow,0.26859294089244795
210,17.0,0.8,0.1,exp,0.2741417838299726
211,17.0,0.8,0.1,pow,0.27065806072831533
212,17.0,0.8,0.3,exp,0.2809862672853873
213,17.0,0.8,0.3,pow,0.2801677600089417
214,17.0,0.8,0.5,exp,0.2876631906304958
215,17.0,0.8,0.5,pow,0.2933252545413431
216,19.0,0.4,0.05,exp,0.2944796121867811
217,19.0,0.4,0.05,pow,0.2892706321730608
218,19.0,0.4,0.1,exp,0.2998914814463591
219,19.0,0.4,0.1,pow,0.28972887871221686
220,19.0,0.4,0.3,exp,0.32018439407271837
221,19.0,0.4,0.3,pow,0.28948225178856146
222,19.0,0.4,0.5,exp,0.003860507783418334
223,19.0,0.4,0.5,pow,0.053163569888623474
224,19.0,0.6,0.05,exp,0.28216599687012434
225,19.0,0.6,0.05,pow,0.2776199105487526
226,19.0,0.6,0.1,exp,0.28537943560041107
227,19.0,0.6,0.1,pow,0.2854225947359657
228,19.0,0.6,0.3,exp,0.29749139696378546
229,19.0,0.6,0.3,pow,0.294117740253279
230,19.0,0.6,0.5,exp,0.3103151910040958
231,19.0,0.6,0.5,pow,0.29910057811519947
232,19.0,0.8,0.05,exp,0.27428732656314564
233,19.0,0.8,0.05,pow,0.269522211577688
234,19.0,0.8,0.1,exp,0.2760521560713296
235,19.0,0.8,0.1,pow,0.2728988135586462
236,19.0,0.8,0.3,exp,0.28252073131829164
237,19.0,0.8,0.3,pow,0.28090042276886074
238,19.0,0.8,0.5,exp,0.28891203451034253
239,19.0,0.8,0.5,pow,0.29318102677690294
240,21.0,0.4,0.05,exp,0.2963988381799761
241,21.0,0.4,0.05,pow,0.29009514599222
242,21.0,0.4,0.1,exp,0.3025388190281179
243,21.0,0.4,0.1,pow,0.28976871429071466
244,21.0,0.4,0.3,exp,0.32039243885916424
245,21.0,0.4,0.3,pow,0.2896786048395858
246,21.0,0.4,0.5,exp,0.0046491321021983655
247,21.0,0.4,0.5,pow,0.051712918658098496
248,21.0,0.6,0.05,exp,0.28389277452807005
249,21.0,0.6,0.05,pow,0.2784277027808377
250,21.0,0.6,0.1,exp,0.2847462779423234
251,21.0,0.6,0.1,pow,0.2878173112361168
252,21.0,0.6,0.3,exp,0.2990426751447233
253,21.0,0.6,0.3,pow,0.29432584066297407
254,21.0,0.6,0.5,exp,0.3104427282693083
255,21.0,0.6,0.5,pow,0.2989940137503231
256,21.0,0.8,0.05,exp,0.2755285853973212
257,21.0,0.8,0.05,pow,0.2714569081364543
258,21.0,0.8,0.1,exp,0.2778041880108224
259,21.0,0.8,0.1,pow,0.27373470656028126
260,21.0,0.8,0.3,exp,0.28206489831004694
261,21.0,0.8,0.3,pow,0.2811653979676407
262,21.0,0.8,0.5,exp,0.2906481203182917
263,21.0,0.8,0.5,pow,0.2936657407045235
264,23.0,0.4,0.05,exp,0.2989121865651579
265,23.0,0.4,0.05,pow,0.28975185992590125
266,23.0,0.4,0.1,exp,0.3042994623088503
267,23.0,0.4,0.1,pow,0.28967110460832984
268,23.0,0.4,0.3,exp,0.32052379403636544
269,23.0,0.4,0.3,pow,0.29013044394307425
270,23.0,0.4,0.5,exp,0.005346353473922193
271,23.0,0.4,0.5,pow,0.05195600669060571
272,23.0,0.6,0.05,exp,0.2827198572002593
273,23.0,0.6,0.05,pow,0.27913449311660243
274,23.0,0.6,0.1,exp,0.28592617708854506
275,23.0,0.6,0.1,pow,0.28864093797904705
276,23.0,0.6,0.3,exp,0.30019463555846193
277,23.0,0.6,0.3,pow,0.2944149233870801
278,23.0,0.6,0.5,exp,0.31070379210586335
279,23.0,0.6,0.5,pow,0.2989940137503231
280,23.0,0.8,0.05,exp,0.276046441096522
281,23.0,0.8,0.05,pow,0.27260312640589124
282,23.0,0.8,0.1,exp,0.27614276691305095
283,23.0,0.8,0.1,pow,0.2746268044264872
284,23.0,0.8,0.3,exp,0.28251541700469834
285,23.0,0.8,0.3,pow,0.2831984208596977
286,23.0,0.8,0.5,exp,0.29241806843768253
287,23.0,0.8,0.5,pow,0.29379566944886476
288,25.0,0.4,0.05,exp,0.3002917173033321
289,25.0,0.4,0.05,pow,0.28987150530057104
290,25.0,0.4,0.1,exp,0.30570622235092926
291,25.0,0.4,0.1,pow,0.2896565844888104
292,25.0,0.4,0.3,exp,0.32144876678029516
293,25.0,0.4,0.3,pow,0.29013044394307425
294,25.0,0.4,0.5,exp,0.006270068204824795
295,25.0,0.4,0.5,pow,0.052158914355893045
296,25.0,0.6,0.05,exp,0.2843149929594022
297,25.0,0.6,0.05,pow,0.27945139472511604
298,25.0,0.6,0.1,exp,0.2895960002000086
299,25.0,0.6,0.1,pow,0.28959355668640857
300,25.0,0.6,0.3,exp,0.30138914636182906
301,25.0,0.6,0.3,pow,0.2950287983726542
302,25.0,0.6,0.5,exp,0.31150181827430595
303,25.0,0.6,0.5,pow,0.29930296085857816
304,25.0,0.8,0.05,exp,0.2749202069998757
305,25.0,0.8,0.05,pow,0.2733949298845754
306,25.0,0.8,0.1,exp,0.27682159832518816
307,25.0,0.8,0.1,pow,0.27437777433316646
308,25.0,0.8,0.3,exp,0.284278117603782
309,25.0,0.8,0.3,pow,0.28358617813025927
310,25.0,0.8,0.5,exp,0.2937316495665575
311,25.0,0.8,0.5,pow,0.29394057114152194
312,27.0,0.4,0.05,exp,0.30176668651061034
313,27.0,0.4,0.05,pow,0.28930176358840654
314,27.0,0.4,0.1,exp,0.3068210274994101
315,27.0,0.4,0.1,pow,0.28966412596694
316,27.0,0.4,0.3,exp,0.3233959212926371
317,27.0,0.4,0.3,pow,0.29027461926025994
318,27.0,0.4,0.5,exp,0.006849675565332699
319,27.0,0.4,0.5,pow,0.05175900693761663
320,27.0,0.6,0.05,exp,0.28597649955675286
321,27.0,0.6,0.05,pow,0.27961568574968626
322,27.0,0.6,0.1,exp,0.29129842885821705
323,27.0,0.6,0.1,pow,0.2901020790381234
324,27.0,0.6,0.3,exp,0.30191190631179193
325,27.0,0.6,0.3,pow,0.29499674351305166
326,27.0,0.6,0.5,exp,0.3118062162483293
327,27.0,0.6,0.5,pow,0.29952903744838366
328,27.0,0.8,0.05,exp,0.27626382306101477
329,27.0,0.8,0.05,pow,0.2734978948713385
330,27.0,0.8,0.1,exp,0.27769781083907236
331,27.0,0.8,0.1,pow,0.2746147711842313
332,27.0,0.8,0.3,exp,0.2861313000775695
333,27.0,0.8,0.3,pow,0.284647682036418
334,27.0,0.8,0.5,exp,0.2944279253583651
335,27.0,0.8,0.5,pow,0.294195838727657
336,29.0,0.4,0.05,exp,0.3025709719606755
337,29.0,0.4,0.05,pow,0.28933398559971685
338,29.0,0.4,0.1,exp,0.30808416797882787
339,29.0,0.4,0.1,pow,0.2895487857131915
340,29.0,0.4,0.3,exp,0.32504695483957385
341,29.0,0.4,0.3,pow,0.29027461926025994
342,29.0,0.4,0.5,exp,0.007390366540953657
343,29.0,0.4,0.5,pow,0.05010702264781055
344,29.0,0.6,0.05,exp,0.28714939457224486
345,29.0,0.6,0.05,pow,0.28036932198022935
346,29.0,0.6,0.1,exp,0.2919070559981572
347,29.0,0.6,0.1,pow,0.29012301771047605
348,29.0,0.6,0.3,exp,0.3021943183483788
349,29.0,0.6,0.3,pow,0.2950819703015358
350,29.0,0.6,0.5,exp,0.31312431635535676
